,Unnamed: 0_x,date,t_5_negative,t_4_negative,t_3_negative,t_2_negative,t_1_negative,t_5_positive,t_4_positive,t_3_positive,t_2_positive,t_1_positive,t_5_neutral,t_4_neutral,t_3_neutral,t_2_neutral,t_1_neutral,Unnamed: 0_y,t_5_Open,t_4_Open,t_3_Open,t_2_Open,t_1_Open,t_5_High,t_4_High,t_3_High,t_2_High,t_1_High,t_5_Low,t_4_Low,t_3_Low,t_2_Low,t_1_Low,t_5_Close,t_4_Close,t_3_Close,t_2_Close,t_1_Close,t_5_Adj_Close,t_4_Adj_Close,t_3_Adj_Close,t_2_Adj_Close,t_1_Adj_Close,t_5_Volume,t_4_Volume,t_3_Volume,t_2_Volume,t_1_Volume,t_5_Open_SMA,t_4_Open_SMA,t_3_Open_SMA,t_2_Open_SMA,t_1_Open_SMA,t_5_High_SMA,t_4_High_SMA,t_3_High_SMA,t_2_High_SMA,t_1_High_SMA,t_5_Low_SMA,t_4_Low_SMA,t_3_Low_SMA,t_2_Low_SMA,t_1_Low_SMA,t_5_Adj_Close_SMA,t_4_Adj_Close_SMA,t_3_Adj_Close_SMA,t_2_Adj_Close_SMA,t_1_Adj_Close_SMA,t_5_Volume_SMA,t_4_Volume_SMA,t_3_Volume_SMA,t_2_Volume_SMA,t_1_Volume_SMA,t_5_VPT,t_4_VPT,t_3_VPT,t_2_VPT,t_1_VPT,close
0,1,2019-01-02,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,54.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.734001
1,2,2019-01-03,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,32.0,31.0,0.0,0.0,0.0,54.0,133.0,1,0.0,0.0,0.0,0.0,51.360001,0.0,0.0,0.0,0.0,53.039501,0.0,0.0,0.0,0.0,51.263999999999996,0.0,0.0,0.0,0.0,52.734001,0.0,0.0,0.0,0.0,52.734001,0.0,0.0,0.0,0.0,31868000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.273499
2,3,2019-01-04,0.0,0.0,3.0,19.0,26.0,0.0,0.0,32.0,31.0,25.0,0.0,0.0,54.0,133.0,194.0,2,0.0,0.0,0.0,51.360001,52.533501,0.0,0.0,0.0,53.039501,53.313,0.0,0.0,0.0,51.263999999999996,51.1185,0.0,0.0,0.0,52.734001,51.273499,0.0,0.0,0.0,52.734001,51.273499,0.0,0.0,0.0,31868000.0,41960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1162109.1280367656,53.9035
3,6,2019-01-07,19.0,26.0,33.0,4.0,8.0,31.0,25.0,32.0,14.0,11.0,133.0,194.0,145.0,85.0,101.0,3,0.0,0.0,51.360001,52.533501,52.127998,0.0,0.0,53.039501,53.313,54.0,0.0,0.0,51.263999999999996,51.1185,51.842999,0.0,0.0,52.734001,51.273499,53.9035,0.0,0.0,52.734001,51.273499,53.9035,0.0,0.0,31868000.0,41960000.0,46022000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1162109.1280367656,1198523.7209521437,53.796001
4,7,2019-01-08,26.0,33.0,4.0,8.0,34.0,25.0,32.0,14.0,11.0,38.0,194.0,145.0,85.0,101.0,214.0,4,0.0,51.360001,52.533501,52.127998,54.0485,0.0,53.039501,53.313,54.0,54.134998,0.0,51.263999999999996,51.1185,51.842999,53.132,0.0,52.734001,51.273499,53.9035,53.796001,0.0,52.734001,51.273499,53.9035,53.796001,0.0,31868000.0,41960000.0,46022000.0,47446000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1162109.1280367656,1198523.7209521437,1103902.8233480945,54.268501
5,8,2019-01-09,33.0,4.0,8.0,34.0,21.0,32.0,14.0,11.0,38.0,29.0,145.0,85.0,101.0,214.0,155.0,5,51.360001,52.533501,52.127998,54.0485,54.299999,53.039501,53.313,54.0,54.134998,54.6675,51.263999999999996,51.1185,51.842999,53.132,53.4175,52.734001,51.273499,53.9035,53.796001,54.268501,52.734001,51.273499,53.9035,53.796001,54.268501,31868000.0,41960000.0,46022000.0,47446000.0,35414000.0,0.0,0.0,0.0,0.0,52.8739998,0.0,0.0,0.0,0.0,53.83099980000001,0.0,0.0,0.0,0.0,52.1549998,0.0,0.0,0.0,0.0,53.195100399999994,0.0,0.0,0.0,0.0,40542000.0,0.0,-1162109.1280367656,1198523.7209521437,1103902.8233480945,1414950.3861585697,54.0825
6,9,2019-01-10,4.0,8.0,34.0,21.0,20.0,14.0,11.0,38.0,29.0,34.0,85.0,101.0,214.0,155.0,160.0,6,52.533501,52.127998,54.0485,54.299999,54.39950200000001,53.313,54.0,54.134998,54.6675,54.582001,51.1185,51.842999,53.132,53.4175,53.718498,51.273499,53.9035,53.796001,54.268501,54.0825,51.273499,53.9035,53.796001,54.268501,54.0825,41960000.0,46022000.0,47446000.0,35414000.0,26998000.0,0.0,0.0,0.0,52.8739998,53.4819,0.0,0.0,0.0,53.83099980000001,54.1394998,0.0,0.0,0.0,52.1549998,52.6458994,0.0,0.0,0.0,53.195100399999994,53.4648002,0.0,0.0,0.0,40542000.0,39568000.0,-1162109.1280367656,1198523.7209521437,1103902.8233480945,1414950.3861585697,1322416.873983617,53.941502
7,10,2019-01-11,8.0,34.0,21.0,20.0,17.0,11.0,38.0,29.0,34.0,22.0,101.0,214.0,155.0,160.0,164.0,7,52.127998,54.0485,54.299999,54.39950200000001,53.747002,54.0,54.134998,54.6675,54.582001,53.990501,51.842999,53.132,53.4175,53.718498,53.234001,53.9035,53.796001,54.268501,54.0825,53.941502,53.9035,53.796001,54.268501,54.0825,53.941502,46022000.0,47446000.0,35414000.0,26998000.0,26598000.0,0.0,0.0,52.8739998,53.4819,53.7246002,0.0,0.0,53.83099980000001,54.1394998,54.275,0.0,0.0,52.1549998,52.6458994,53.068999600000005,0.0,0.0,53.195100399999994,53.4648002,53.99840079999999,0.0,0.0,40542000.0,39568000.0,36495600.0,1198523.7209521437,1103902.8233480945,1414950.3861585697,1322416.873983617,1253073.4670774995,53.223499
8,13,2019-01-14,20.0,17.0,32.0,5.0,10.0,34.0,22.0,16.0,12.0,11.0,160.0,164.0,171.0,89.0,76.0,8,54.0485,54.299999,54.39950200000001,53.747002,53.494999,54.134998,54.6675,54.582001,53.990501,53.668499,53.132,53.4175,53.718498,53.234001,52.821499,53.796001,54.268501,54.0825,53.941502,53.223499,53.796001,54.268501,54.0825,53.941502,53.223499,47446000.0,35414000.0,26998000.0,26598000.0,30864000.0,0.0,52.8739998,53.4819,53.7246002,53.998000399999995,0.0,53.83099980000001,54.1394998,54.275,54.208699800000005,0.0,52.1549998,52.6458994,53.068999600000005,53.26469959999999,0.0,53.195100399999994,53.4648002,53.99840079999999,53.86240060000001,0.0,40542000.0,39568000.0,36495600.0,33464000.0,1103902.8233480945,1414950.3861585697,1322416.873983617,1253073.4670774995,842249.8197864009,52.5755
9,14,2019-01-15,17.0,32.0,5.0,10.0,16.0,22.0,16.0,12.0,11.0,19.0,164.0,171.0,89.0,76.0,103.0,9,54.299999,54.39950200000001,53.747002,53.494999,52.667,54.6675,54.582001,53.990501,53.668499,52.922501,53.4175,53.718498,53.234001,52.821499,52.427502,54.268501,54.0825,53.941502,53.223499,52.5755,54.268501,54.0825,53.941502,53.223499,52.5755,35414000.0,26998000.0,26598000.0,30864000.0,28490000.0,52.8739998,53.4819,53.7246002,53.998000399999995,53.72170040000001,53.83099980000001,54.1394998,54.275,54.208699800000005,53.96620040000001,52.1549998,52.6458994,53.068999600000005,53.26469959999999,53.1238,53.195100399999994,53.4648002,53.99840079999999,53.86240060000001,53.6183004,40542000.0,39568000.0,36495600.0,33464000.0,29672800.0,1414950.3861585697,1322416.873983617,1253073.4670774995,842249.8197864009,495382.51761974033,54.3255
10,15,2019-01-16,32.0,5.0,10.0,16.0,18.0,16.0,12.0,11.0,19.0,29.0,171.0,89.0,76.0,103.0,156.0,10,54.39950200000001,53.747002,53.494999,52.667,52.900501,54.582001,53.990501,53.668499,52.922501,54.413502,53.718498,53.234001,52.821499,52.427502,52.722,54.0825,53.941502,53.223499,52.5755,54.3255,54.0825,53.941502,53.223499,52.5755,54.3255,26998000.0,26598000.0,30864000.0,28490000.0,37518000.0,53.4819,53.7246002,53.998000399999995,53.72170040000001,53.44180080000001,54.1394998,54.275,54.208699800000005,53.96620040000001,53.91540079999999,52.6458994,53.068999600000005,53.26469959999999,53.1238,52.98469999999999,53.4648002,53.99840079999999,53.86240060000001,53.6183004,53.62970019999999,39568000.0,36495600.0,33464000.0,29672800.0,30093600.0,1322416.873983617,1253073.4670774995,842249.8197864009,495382.51761974033,1744186.61838911,54.475498
11,16,2019-01-17,5.0,10.0,16.0,18.0,19.0,12.0,11.0,19.0,29.0,27.0,89.0,76.0,103.0,156.0,101.0,11,53.747002,53.494999,52.667,52.900501,54.5,53.990501,53.668499,52.922501,54.413502,55.118,53.234001,52.821499,52.427502,52.722,54.400501,53.941502,53.223499,52.5755,54.3255,54.475498,53.941502,53.223499,52.5755,54.3255,54.475498,26598000.0,30864000.0,28490000.0,37518000.0,38280000.0,53.7246002,53.998000399999995,53.72170040000001,53.44180080000001,53.46190040000001,54.275,54.208699800000005,53.96620040000001,53.91540079999999,54.022600600000004,53.068999600000005,53.26469959999999,53.1238,52.98469999999999,53.12110059999999,53.99840079999999,53.86240060000001,53.6183004,53.62970019999999,53.7082998,36495600.0,33464000.0,29672800.0,30093600.0,32350000.0,1253073.4670774995,842249.8197864009,495382.51761974033,1744186.61838911,1849881.429113353,54.956001
