,Unnamed: 0_x,date,t_5_negative,t_4_negative,t_3_negative,t_2_negative,t_1_negative,t_5_positive,t_4_positive,t_3_positive,t_2_positive,t_1_positive,t_5_neutral,t_4_neutral,t_3_neutral,t_2_neutral,t_1_neutral,Unnamed: 0_y,t_5_Open,t_4_Open,t_3_Open,t_2_Open,t_1_Open,t_5_High,t_4_High,t_3_High,t_2_High,t_1_High,t_5_Low,t_4_Low,t_3_Low,t_2_Low,t_1_Low,t_5_Close,t_4_Close,t_3_Close,t_2_Close,t_1_Close,t_5_Adj_Close,t_4_Adj_Close,t_3_Adj_Close,t_2_Adj_Close,t_1_Adj_Close,t_5_Volume,t_4_Volume,t_3_Volume,t_2_Volume,t_1_Volume,t_5_Open_SMA,t_4_Open_SMA,t_3_Open_SMA,t_2_Open_SMA,t_1_Open_SMA,t_5_High_SMA,t_4_High_SMA,t_3_High_SMA,t_2_High_SMA,t_1_High_SMA,t_5_Low_SMA,t_4_Low_SMA,t_3_Low_SMA,t_2_Low_SMA,t_1_Low_SMA,t_5_Adj_Close_SMA,t_4_Adj_Close_SMA,t_3_Adj_Close_SMA,t_2_Adj_Close_SMA,t_1_Adj_Close_SMA,t_5_Volume_SMA,t_4_Volume_SMA,t_3_Volume_SMA,t_2_Volume_SMA,t_1_Volume_SMA,t_5_VPT,t_4_VPT,t_3_VPT,t_2_VPT,t_1_VPT,close
0,1,2019-01-02,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,181.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.48
1,2,2019-01-03,0.0,0.0,0.0,29.0,993.0,0.0,0.0,0.0,48.0,322.0,0.0,0.0,0.0,181.0,1517.0,1,0.0,0.0,0.0,0.0,38.7225,0.0,0.0,0.0,0.0,39.712502,0.0,0.0,0.0,0.0,38.557499,0.0,0.0,0.0,0.0,39.48,0.0,0.0,0.0,0.0,38.047043,0.0,0.0,0.0,0.0,148158800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.54750100000001
2,3,2019-01-04,0.0,0.0,29.0,993.0,1968.0,0.0,0.0,48.0,322.0,668.0,0.0,0.0,181.0,1517.0,3028.0,2,0.0,0.0,0.0,38.7225,35.994999,0.0,0.0,0.0,39.712502,36.43,0.0,0.0,0.0,38.557499,35.5,0.0,0.0,0.0,39.48,35.54750100000001,0.0,0.0,0.0,38.047043,34.257282000000004,0.0,0.0,0.0,148158800.0,365248800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36381472.66340419,37.064999
3,6,2019-01-07,993.0,1968.0,568.0,154.0,94.0,322.0,668.0,286.0,103.0,66.0,1517.0,3028.0,1208.0,416.0,388.0,3,0.0,0.0,38.7225,35.994999,36.1325,0.0,0.0,39.712502,36.43,37.137501,0.0,0.0,38.557499,35.5,35.950001,0.0,0.0,39.48,35.54750100000001,37.064999,0.0,0.0,38.047043,34.257282000000004,35.719704,0.0,0.0,148158800.0,365248800.0,234428400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36381472.66340419,-26373887.93492499,36.982498
4,7,2019-01-08,1968.0,568.0,154.0,94.0,209.0,668.0,286.0,103.0,66.0,130.0,3028.0,1208.0,416.0,388.0,884.0,4,0.0,38.7225,35.994999,36.1325,37.174999,0.0,39.712502,36.43,37.137501,37.2075,0.0,38.557499,35.5,35.950001,36.474998,0.0,39.48,35.54750100000001,37.064999,36.982498,0.0,38.047043,34.257282000000004,35.719704,35.64019000000001,0.0,148158800.0,365248800.0,234428400.0,219111200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36381472.66340419,-26373887.93492499,-26861595.842625193,37.6875
5,8,2019-01-09,568.0,154.0,94.0,209.0,239.0,286.0,103.0,66.0,130.0,169.0,1208.0,416.0,388.0,884.0,844.0,5,38.7225,35.994999,36.1325,37.174999,37.389999,39.712502,36.43,37.137501,37.2075,37.955002,38.557499,35.5,35.950001,36.474998,37.130001,39.48,35.54750100000001,37.064999,36.982498,37.6875,38.047043,34.257282000000004,35.719704,35.64019000000001,36.319603,148158800.0,365248800.0,234428400.0,219111200.0,164101200.0,0.0,0.0,0.0,0.0,37.08299939999999,0.0,0.0,0.0,0.0,37.688501,0.0,0.0,0.0,0.0,36.722499799999994,0.0,0.0,0.0,0.0,35.996764399999996,0.0,0.0,0.0,0.0,226209680.0,0.0,-36381472.66340419,-26373887.93492499,-26861595.842625193,-23733314.075330835,38.327499
6,9,2019-01-10,154.0,94.0,209.0,239.0,260.0,103.0,66.0,130.0,169.0,229.0,416.0,388.0,884.0,844.0,994.0,6,35.994999,36.1325,37.174999,37.389999,37.822498,36.43,37.137501,37.2075,37.955002,38.6325,35.5,35.950001,36.474998,37.130001,37.407501,35.54750100000001,37.064999,36.982498,37.6875,38.327499,34.257282000000004,35.719704,35.64019000000001,36.319603,36.936371,365248800.0,234428400.0,219111200.0,164101200.0,180396400.0,0.0,0.0,0.0,37.08299939999999,36.902999,0.0,0.0,0.0,37.688501,37.4725006,0.0,0.0,0.0,36.722499799999994,36.4925002,0.0,0.0,0.0,35.996764399999996,35.77463,0.0,0.0,0.0,226209680.0,232657200.0,-36381472.66340419,-26373887.93492499,-26861595.842625193,-23733314.075330835,-20669870.87523533,38.450001
7,10,2019-01-11,94.0,209.0,239.0,260.0,147.0,66.0,130.0,169.0,229.0,119.0,388.0,884.0,844.0,994.0,690.0,7,36.1325,37.174999,37.389999,37.822498,38.125,37.137501,37.2075,37.955002,38.6325,38.4925,35.950001,36.474998,37.130001,37.407501,37.715,37.064999,36.982498,37.6875,38.327499,38.450001,35.719704,35.64019000000001,36.319603,36.936371,37.054432,234428400.0,219111200.0,164101200.0,180396400.0,143122800.0,0.0,0.0,37.08299939999999,36.902999,37.32899919999999,0.0,0.0,37.688501,37.4725006,37.8850006,0.0,0.0,36.722499799999994,36.4925002,36.93550020000001,0.0,0.0,35.996764399999996,35.77463,36.33406,0.0,0.0,226209680.0,232657200.0,188232000.0,-26373887.93492499,-26861595.842625193,-23733314.075330835,-20669870.87523533,-20212423.09745049,38.072498
8,13,2019-01-14,260.0,147.0,138.0,34.0,48.0,229.0,119.0,98.0,44.0,38.0,994.0,690.0,665.0,286.0,288.0,8,37.174999,37.389999,37.822498,38.125,38.220001,37.2075,37.955002,38.6325,38.4925,38.424999,36.474998,37.130001,37.407501,37.715,37.877499,36.982498,37.6875,38.327499,38.450001,38.072498,35.64019000000001,36.319603,36.936371,37.054432,36.690628,219111200.0,164101200.0,180396400.0,143122800.0,108092800.0,0.0,37.08299939999999,36.902999,37.32899919999999,37.74649939999999,0.0,37.688501,37.4725006,37.8850006,38.14250020000001,0.0,36.722499799999994,36.4925002,36.93550020000001,37.320999799999996,0.0,35.996764399999996,35.77463,36.33406,36.5282448,0.0,226209680.0,232657200.0,188232000.0,162964880.0,-26861595.842625193,-23733314.075330835,-20669870.87523533,-20212423.09745049,-21273680.710380085,37.5
9,14,2019-01-15,147.0,138.0,34.0,48.0,133.0,119.0,98.0,44.0,38.0,92.0,690.0,665.0,286.0,288.0,623.0,9,37.389999,37.822498,38.125,38.220001,37.712502,37.955002,38.6325,38.4925,38.424999,37.817501,37.130001,37.407501,37.715,37.877499,37.305,37.6875,38.327499,38.450001,38.072498,37.5,36.319603,36.936371,37.054432,36.690628,36.138916,164101200.0,180396400.0,143122800.0,108092800.0,129756800.0,37.08299939999999,36.902999,37.32899919999999,37.74649939999999,37.854,37.688501,37.4725006,37.8850006,38.14250020000001,38.264500399999996,36.722499799999994,36.4925002,36.93550020000001,37.320999799999996,37.4870002,35.996764399999996,35.77463,36.33406,36.5282448,36.627990000000004,226209680.0,232657200.0,188232000.0,162964880.0,145094000.0,-23733314.075330835,-20669870.87523533,-20212423.09745049,-21273680.710380085,-23224840.00879017,38.267502
