,Unnamed: 0_x,date,t_5_negative,t_4_negative,t_3_negative,t_2_negative,t_1_negative,t_5_positive,t_4_positive,t_3_positive,t_2_positive,t_1_positive,t_5_neutral,t_4_neutral,t_3_neutral,t_2_neutral,t_1_neutral,Unnamed: 0_y,t_5_Open,t_4_Open,t_3_Open,t_2_Open,t_1_Open,t_5_High,t_4_High,t_3_High,t_2_High,t_1_High,t_5_Low,t_4_Low,t_3_Low,t_2_Low,t_1_Low,t_5_Close,t_4_Close,t_3_Close,t_2_Close,t_1_Close,t_5_Adj_Close,t_4_Adj_Close,t_3_Adj_Close,t_2_Adj_Close,t_1_Adj_Close,t_5_Volume,t_4_Volume,t_3_Volume,t_2_Volume,t_1_Volume,t_5_Open_SMA,t_4_Open_SMA,t_3_Open_SMA,t_2_Open_SMA,t_1_Open_SMA,t_5_High_SMA,t_4_High_SMA,t_3_High_SMA,t_2_High_SMA,t_1_High_SMA,t_5_Low_SMA,t_4_Low_SMA,t_3_Low_SMA,t_2_Low_SMA,t_1_Low_SMA,t_5_Adj_Close_SMA,t_4_Adj_Close_SMA,t_3_Adj_Close_SMA,t_2_Adj_Close_SMA,t_1_Adj_Close_SMA,t_5_Volume_SMA,t_4_Volume_SMA,t_3_Volume_SMA,t_2_Volume_SMA,t_1_Volume_SMA,t_5_VPT,t_4_VPT,t_3_VPT,t_2_VPT,t_1_VPT,close
0,1,2019-01-02,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,51.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.120003
1,2,2019-01-03,0.0,0.0,0.0,8.0,27.0,0.0,0.0,0.0,24.0,28.0,0.0,0.0,0.0,51.0,192.0,1,0.0,0.0,0.0,0.0,99.550003,0.0,0.0,0.0,0.0,101.75,0.0,0.0,0.0,0.0,98.940002,0.0,0.0,0.0,0.0,101.120003,0.0,0.0,0.0,0.0,96.632668,0.0,0.0,0.0,0.0,35329300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.400002
2,3,2019-01-04,0.0,0.0,8.0,27.0,47.0,0.0,0.0,24.0,28.0,43.0,0.0,0.0,51.0,192.0,174.0,2,0.0,0.0,0.0,99.550003,100.099998,0.0,0.0,0.0,101.75,100.190002,0.0,0.0,0.0,98.940002,97.199997,0.0,0.0,0.0,101.120003,97.400002,0.0,0.0,0.0,96.632668,93.077728,0.0,0.0,0.0,35329300.0,42579100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1566399.2274515643,101.93
3,6,2019-01-07,27.0,47.0,23.0,4.0,6.0,28.0,43.0,30.0,52.0,18.0,192.0,174.0,127.0,52.0,58.0,3,0.0,0.0,99.550003,100.099998,99.720001,0.0,0.0,101.75,100.190002,102.510002,0.0,0.0,98.940002,97.199997,98.93,0.0,0.0,101.120003,97.400002,101.93,0.0,0.0,96.632668,93.077728,97.406715,0.0,0.0,35329300.0,42579100.0,44060600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1566399.2274515643,482824.8565356236,102.059998
4,7,2019-01-08,47.0,23.0,4.0,6.0,22.0,43.0,30.0,52.0,18.0,57.0,174.0,127.0,52.0,58.0,175.0,4,0.0,99.550003,100.099998,99.720001,101.639999,0.0,101.75,100.190002,102.510002,103.269997,0.0,98.940002,97.199997,98.93,100.980003,0.0,101.120003,97.400002,101.93,102.059998,0.0,96.632668,93.077728,97.406715,97.530937,0.0,35329300.0,42579100.0,44060600.0,35656100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1566399.2274515643,482824.8565356236,528299.4144459494,102.800003
5,8,2019-01-09,23.0,4.0,6.0,22.0,21.0,30.0,52.0,18.0,57.0,33.0,127.0,52.0,58.0,175.0,215.0,5,99.550003,100.099998,99.720001,101.639999,103.040001,101.75,100.190002,102.510002,103.269997,103.970001,98.940002,97.199997,98.93,100.980003,101.709999,101.120003,97.400002,101.93,102.059998,102.800003,96.632668,93.077728,97.406715,97.530937,98.238113,35329300.0,42579100.0,44060600.0,35656100.0,31514400.0,0.0,0.0,0.0,0.0,100.8100004,0.0,0.0,0.0,0.0,102.33800039999998,0.0,0.0,0.0,0.0,99.5520002,0.0,0.0,0.0,0.0,96.5772322,0.0,0.0,0.0,0.0,37827900.0,0.0,-1566399.2274515643,482824.8565356236,528299.4144459494,756800.4337385456,104.269997
6,9,2019-01-10,4.0,6.0,22.0,21.0,21.0,52.0,18.0,57.0,33.0,45.0,52.0,58.0,175.0,215.0,137.0,6,100.099998,99.720001,101.639999,103.040001,103.860001,100.190002,102.510002,103.269997,103.970001,104.879997,97.199997,98.93,100.980003,101.709999,103.239998,97.400002,101.93,102.059998,102.800003,104.269997,93.077728,97.406715,97.530937,98.238113,99.642883,42579100.0,44060600.0,35656100.0,31514400.0,32280800.0,0.0,0.0,0.0,100.8100004,101.67200000000001,0.0,0.0,0.0,102.33800039999998,102.96399979999998,0.0,0.0,0.0,99.5520002,100.41199940000001,0.0,0.0,0.0,96.5772322,97.1792752,0.0,0.0,0.0,37827900.0,37218200.0,-1566399.2274515643,482824.8565356236,528299.4144459494,756800.4337385456,1218401.4155517465,103.599998
7,10,2019-01-11,6.0,22.0,21.0,21.0,27.0,18.0,57.0,33.0,45.0,33.0,58.0,175.0,215.0,137.0,137.0,7,99.720001,101.639999,103.040001,103.860001,103.220001,102.510002,103.269997,103.970001,104.879997,103.75,98.93,100.980003,101.709999,103.239998,102.379997,101.93,102.059998,102.800003,104.269997,103.599998,97.406715,97.530937,98.238113,99.642883,99.002602,44060600.0,35656100.0,31514400.0,32280800.0,30067600.0,0.0,0.0,100.8100004,101.67200000000001,102.2960006,0.0,0.0,102.33800039999998,102.96399979999998,103.67599939999998,0.0,0.0,99.5520002,100.41199940000001,101.4479994,0.0,0.0,96.5772322,97.1792752,98.36425,0.0,0.0,37827900.0,37218200.0,34715900.0,482824.8565356236,528299.4144459494,756800.4337385456,1218401.4155517465,1025198.5526764352,102.800003
8,13,2019-01-14,21.0,27.0,17.0,4.0,4.0,45.0,33.0,24.0,24.0,25.0,137.0,137.0,138.0,41.0,60.0,8,101.639999,103.040001,103.860001,103.220001,103.190002,103.269997,103.970001,104.879997,103.75,103.440002,100.980003,101.709999,103.239998,102.379997,101.639999,102.059998,102.800003,104.269997,103.599998,102.800003,97.530937,98.238113,99.642883,99.002602,98.238113,35656100.0,31514400.0,32280800.0,30067600.0,28314200.0,0.0,100.8100004,101.67200000000001,102.2960006,102.9900008,0.0,102.33800039999998,102.96399979999998,103.67599939999998,103.8619994,0.0,99.5520002,100.41199940000001,101.4479994,101.98999920000004,0.0,96.5772322,97.1792752,98.36425,98.5305296,0.0,37827900.0,37218200.0,34715900.0,31566620.0,528299.4144459494,756800.4337385456,1218401.4155517465,1025198.5526764352,806557.4439285385,102.050003
9,14,2019-01-15,27.0,17.0,4.0,4.0,6.0,33.0,24.0,24.0,25.0,31.0,137.0,138.0,41.0,60.0,156.0,9,103.040001,103.860001,103.220001,103.190002,101.900002,103.970001,104.879997,103.75,103.440002,102.870003,101.709999,103.239998,102.379997,101.639999,101.260002,102.800003,104.269997,103.599998,102.800003,102.050003,98.238113,99.642883,99.002602,98.238113,97.5214,31514400.0,32280800.0,30067600.0,28314200.0,28437100.0,100.8100004,101.67200000000001,102.2960006,102.9900008,103.04200139999998,102.33800039999998,102.96399979999998,103.67599939999998,103.8619994,103.7820006,99.5520002,100.41199940000001,101.4479994,101.98999920000004,102.04599900000002,96.5772322,97.1792752,98.36425,98.5305296,98.5286222,37827900.0,37218200.0,34715900.0,31566620.0,30122820.0,756800.4337385456,1218401.4155517465,1025198.5526764352,806557.4439285385,599088.3351970923,105.010002
